Area,Months,Year,Temperature change,RollingMean_5Y
France,December,2008,-0.573,-0.11239999999999988
France,,2008,1.778,
France,,2008,1.109,
France,,2008,1.035,
France,,2008,0.008,
France,,2008,0.982,
France,January,2009,-0.962,1.2002
France,February,2009,-0.059,0.6012
France,March,2009,0.745,0.586
France,April,2009,2.005,1.8636000000000004
France,May,2009,2.331,1.9547999999999999
France,June,2009,1.686,2.0088
France,July,2009,1.483,1.7866000000000004
France,August,2009,2.621,0.7996000000000001
France,September,2009,1.264,0.7916000000000001
France,October,2009,0.986,1.5063999999999997
France,November,2009,2.861,1.2206
France,December,2009,0.084,-0.12579999999999988
France,,2009,-0.531,
France,,2009,1.694,
France,,2009,1.93,
France,,2009,1.704,
France,,2009,1.199,
France,January,2010,-1.688,0.6323999999999999
France,February,2010,-0.464,0.8454
France,March,2010,0.116,0.4887999999999999
France,April,2010,1.76,1.967
France,May,2010,-0.23,1.5979999999999999
France,June,2010,1.364,1.6772000000000002
France,July,2010,2.622,1.9740000000000002
France,August,2010,0.755,0.8486
France,September,2010,-0.142,0.5218
France,October,2010,0.008,0.9303999999999999
France,November,2010,0.358,1.2970000000000002
France,December,2010,-2.262,-0.2961999999999999
France,,2010,-0.689,
France,,2010,0.549,
France,,2010,1.58,
France,,2010,0.075,
France,,2010,0.379,
France,January,2011,0.825,0.8854
France,February,2011,1.74,1.3699999999999999
France,March,2011,1.636,0.8149999999999998
France,April,2011,4.161,2.5458000000000003
France,May,2011,2.789,1.8504
France,June,2011,1.179,1.4226
France,July,2011,-0.494,0.9334000000000001
France,August,2011,1.536,1.2226
France,September,2011,2.314,0.44640000000000013
France,October,2011,1.68,0.6065999999999998
France,November,2011,3.07,1.343
France,December,2011,2.479,-0.03979999999999988
France,,2011,0.101,
France,,2011,2.862,
France,,2011,0.74,
France,,2011,2.355,
France,,2011,1.514,
France,January,2012,2.133,0.6357999999999999
France,February,2012,-2.983,0.12480000000000002
France,March,2012,2.93,1.1732
France,April,2012,0.18,1.7098
France,May,2012,1.816,1.8303999999999998
France,June,2012,1.59,1.4272
France,July,2012,0.514,0.9932000000000002
France,August,2012,2.689,1.7096
France,September,2012,0.481,0.6368000000000001
France,October,2012,1.177,0.8039999999999999
France,November,2012,1.389,1.6534000000000002
France,December,2012,1.439,0.23340000000000014
France,,2012,0.543,
France,,2012,1.642,
France,,2012,1.598,
France,,2012,1.016,
France,,2012,1.2,
